Name,Price,Qty,Stop,Target,Max Loss,Potential Gain,Value,GAIN-LOSS RATIO
FDX,246.2,-56800,255,192,"-$500,000.00","$3,078,560.00","-$13,984,160.00",6.15712
AAPL,174,-55600,183,130,"-$500,000.00","$2,446,400.00","-$9,674,400.00",4.8928
GOOGL,127,166700,124,152,"-$500,000.00","$4,167,500.00","$21,170,900.00",8.335
TSLA,231,-17200,260,151,"-$500,000.00","$1,376,000.00","-$3,973,200.00",2.752
WMT,155,100000,150,190,"-$500,000.00","$3,500,000.00","$15,500,000.00",7
JNJ,153,-71400,160,125,"-$500,000.00","$1,999,200.00","-$10,924,200.00",3.9984
MA,388,-83300,394,310,"-$500,000.00","$6,497,400.00","-$32,320,400.00",12.9948
ORCL,110,-166700,113,90,"-$500,000.00","$3,334,000.00","-$18,337,000.00",6.668
COST,542,18500,515,620,"-$500,000.00","$1,443,000.00","$10,027,000.00",2.886
PEP,160,-55600,169,129,"-$500,000.00","$1,723,600.00","-$8,896,000.00",3.4472
CSCO,52.5,200000,50,65,"-$500,000.00","$2,500,000.00","$10,500,000.00",5
BAC,26.3,-227300,28.5,21.5,"-$500,000.00","$1,091,040.00","-$5,977,990.00",2.18208
CRM,212,-166700,215,134,"-$500,000.00","$13,002,600.00","-$35,340,400.00",26.0052
ACN,311,-29400,328,250,"-$500,000.00","$1,793,400.00","-$9,143,400.00",3.5868
NFLX,400,100000,395,500,"-$500,000.00","$10,000,000.00","$40,000,000.00",20
NKE,102.6,-53200,112,80,"-$500,000.00","$1,202,320.00","-$5,458,320.00",2.40464
DHR,205,-33300,220,165,"-$500,000.00","$1,332,000.00","-$6,826,500.00",2.664
DIS,82.65,-114900,87,45,"-$500,000.00","$4,325,985.00","-$9,496,485.00",8.65197
AMGN,265,71400,258,335,"-$500,000.00","$4,998,000.00","$18,921,000.00",9.996
UPS,158,-71400,165,120,"-$500,000.00","$2,713,200.00","-$11,281,200.00",5.4264
